affliations,article_name,authors,doi,email_address,publishing_date,volume,type,author_id
,A Review of Inference Algorithms for Hybrid Bayesian Networks,"Antonio Salmerón,Rafael Rumí,Helge Langseth,Thomas D. Nielsen,Anders L. Madsen",https://doi.org/10.1613/jair.1.11228,,,Vol. 62 (2018),article,
,Indirect Causes in Dynamic Bayesian Networks Revisited,"Alexander Motzek,Ralf Möller",https://doi.org/10.1613/jair.5361,,,Vol. 59 (2017),article,
,Viewpoint: When Will AI Exceed Human Performance? Evidence from AI Experts,"Katja Grace,John Salvatier,Allan Dafoe,Baobao Zhang,Owain Evans",https://doi.org/10.1613/jair.1.11222,,,Vol. 62 (2018),article,
,Computing Hierarchical Finite State Controllers With Classical Planning,"Javier Segovia-Aguas,Sergio Jiménez,Anders Jonsson",https://doi.org/10.1613/jair.1.11227,,,Vol. 62 (2018),article,
,Exploiting Partial Assignments for Efficient Evaluation of Answer Set Programs with External Source Access,"Thomas Eiter,Tobias Kaminski,Christoph Redl,Antonius Weinzierl",https://doi.org/10.1613/jair.1.11221,,,Vol. 62 (2018),article,
,Column Generation Algorithms for Constrained POMDPs,"Erwin Walraven,Matthijs T. J. Spaan",https://doi.org/10.1613/jair.1.11216,,,Vol. 62 (2018),article,
,ScottyActivity: Mixed Discrete-Continuous Planning with Convex Optimization,"Enrique Fernandez-Gonzalez,Brian Williams,Erez Karpas",https://doi.org/10.1613/jair.1.11219,,,Vol. 62 (2018),article,
,Counterexample-Guided Cartesian Abstraction Refinement for Classical Planning,"Jendrik Seipp,Malte Helmert",https://doi.org/10.1613/jair.1.11217,,,Vol. 62 (2018),article,
,The Power of Verification for Greedy Mechanism Design,"Dimitris Fotakis,Piotr Krysta,Carmine Ventre",https://doi.org/10.1613/jair.1.11215,,,Vol. 62 (2018),article,
,Incentive-Compatible Mechanisms for Norm Monitoring in Open Multi-Agent Systems,"Natasha Alechina,Joseph Y. Halpern,Ian A. Kash,Brian Logan",https://doi.org/10.1613/jair.1.11214,,,Vol. 62 (2018),article,
,"Nash Stable Outcomes in Fractional Hedonic Games: Existence, Efficiency and Computation","Vittorio Bilò,Angelo Fanelli,Michele Flammini,Gianpiero Monaco,Luca Moscardelli",https://doi.org/10.1613/jair.1.11211,,,Vol. 62 (2018),article,
,Extending Classical Planning with State Constraints: Heuristics and Search for Optimal Planning,"Patrik Haslum,Franc Ivankovic,Miquel Ramirez,Dan Gordon,Sylvie Thiebaux,Vikas Shivashankar,Dana S. Nau",https://doi.org/10.1613/jair.1.11213,,,Vol. 62 (2018),article,
,"The Mathematics of Changing One’s Mind, via Jeffrey’s or via Pearl’s Update Rule",Bart Jacobs,https://doi.org/10.1613/jair.1.11349,,,Vol. 65 (2019),article,
,Automatic Language Identification in Texts: A Survey,"Tommi Jauhiainen,Marco Lui,Marcos Zampieri,Timothy Baldwin,Krister Lindén",https://doi.org/10.1613/jair.1.11675,,,Vol. 65 (2019),article,
,Solving Multi-agent Path Finding on Strongly Biconnected Digraphs,"Adi Botea,Davide Bonusi,Pavel Surynek",https://doi.org/10.1613/jair.1.11212,,,Vol. 62 (2018),article,
,Viewpoint: Artificial Intelligence Government (Gov. 3.0): The UAE Leading Model,Mohanad Halaweh,https://doi.org/10.1613/jair.1.11210,,,Vol. 62 (2018),article,
,A COP Model For Graph-Constrained Coalition Formation,"Filippo Bistaffa,Alessandro Farinelli",https://doi.org/10.1613/jair.1.11205,,,Vol. 62 (2018),article,
